Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
EDCSEA01,Seattle,WA,4.5,45.9,Moderate,55.99,31.92,24.07,baseline_pue; load_growth_rate; energy_pct_opex,36.93,51.1,40.96,50.78,45.9,45.9,HIGH
Equinix SG1,Singapore,N/A,13.5,82.7,Excellent,92.27,68.23,24.04,baseline_pue; load_growth_rate; energy_pct_opex,73.1,88.85,77.46,87.92,82.7,82.7,HIGH
STT 5,Singapore,N/A,13.8,82.75,Excellent,92.32,68.31,24.01,baseline_pue; load_growth_rate; energy_pct_opex,73.17,88.89,77.52,87.98,82.75,82.75,HIGH
GDC CA3,Sacramento,CA,14.0,82.79,Excellent,92.35,68.35,24.0,baseline_pue; load_growth_rate; energy_pct_opex,73.22,88.92,77.56,88.01,82.79,82.79,HIGH
STT 3,Singapore,N/A,15.2,82.98,Excellent,92.51,68.62,23.89,baseline_pue; load_growth_rate; energy_pct_opex,73.47,89.09,77.76,88.2,82.98,82.98,HIGH
Industriparken 24 CPH3,Ballerup,,4.8,55.19,Good,65.48,41.6,23.88,baseline_pue; load_growth_rate; energy_pct_opex,46.49,60.51,50.25,60.08,55.19,55.19,HIGH
Equinix TY8,Tokyo,Tokyo,10.0,73.1,Good,83.91,60.06,23.85,baseline_pue; load_growth_rate; energy_pct_opex,64.76,78.76,68.14,78.05,73.1,73.1,HIGH
SG1,Singapore,N/A,17.0,83.22,Excellent,92.71,68.94,23.77,baseline_pue; load_growth_rate; energy_pct_opex,73.78,89.3,78.01,88.43,83.22,83.22,HIGH
Equinix FR4,Frankfurt,Hesse,15.0,76.24,Excellent,87.11,63.35,23.76,baseline_pue; load_growth_rate; energy_pct_opex,68.01,81.93,71.28,81.19,76.24,76.24,HIGH
Science Park 120 (AMS17),Amsterdam,,8.2,70.31,Good,81.0,57.25,23.75,baseline_pue; load_growth_rate; energy_pct_opex,61.97,75.89,65.36,75.24,70.31,70.31,HIGH
STT 4,Singapore,N/A,18.0,83.34,Excellent,92.8,69.09,23.71,baseline_pue; load_growth_rate; energy_pct_opex,73.92,89.39,78.13,88.53,83.34,83.34,HIGH
Hanauer Landstrasse 320 FRA18,Frankfurt,,16.0,76.41,Excellent,87.25,63.58,23.67,baseline_pue; load_growth_rate; energy_pct_opex,68.23,82.08,71.46,81.35,76.41,76.41,HIGH
Maincubes FRA03,Schwalbach,Hesse,16.0,76.41,Excellent,87.25,63.58,23.67,baseline_pue; load_growth_rate; energy_pct_opex,68.23,82.08,71.46,81.35,76.41,76.41,HIGH
Keppel Floating DC Singapore,Singapore,N/A,19.2,83.45,Excellent,92.9,69.26,23.64,baseline_pue; load_growth_rate; energy_pct_opex,74.08,89.5,78.25,88.65,83.45,83.45,HIGH
Calle de Alfonso Gomez MAD4,Madrid,,5.0,55.7,Good,65.9,42.29,23.61,baseline_pue; load_growth_rate; energy_pct_opex,47.16,60.95,50.78,60.57,55.7,55.7,HIGH
SIN10,Singapore,N/A,20.4,83.56,Excellent,92.98,69.4,23.58,baseline_pue; load_growth_rate; energy_pct_opex,74.21,89.59,78.36,88.75,83.56,83.56,HIGH
Equinix HE3,Helsinki,,5.0,40.65,Moderate,50.39,26.85,23.54,baseline_pue; load_growth_rate; energy_pct_opex,31.86,45.59,35.77,45.46,40.65,40.65,HIGH
Digital Realty FRA10,Frankfurt,Hesse,18.0,76.7,Excellent,87.48,63.96,23.52,baseline_pue; load_growth_rate; energy_pct_opex,68.6,82.33,71.76,81.63,76.7,76.7,HIGH
Digital Realty FRA16,Frankfurt,Hesse,18.0,76.7,Excellent,87.48,63.96,23.52,baseline_pue; load_growth_rate; energy_pct_opex,68.6,82.33,71.76,81.63,76.7,76.7,HIGH
NTT Frankfurt 3,Frankfurt,Hesse,18.0,76.7,Excellent,87.48,63.96,23.52,baseline_pue; load_growth_rate; energy_pct_opex,68.6,82.33,71.76,81.63,76.7,76.7,HIGH
Telehouse Tama 3,Tama,Tokyo,12.0,73.82,Good,84.5,61.03,23.47,baseline_pue; load_growth_rate; energy_pct_opex,65.69,79.38,68.89,78.74,73.82,73.82,HIGH
AT TOKYO CC1,Tokyo,Tokyo,12.0,73.82,Good,84.5,61.03,23.47,baseline_pue; load_growth_rate; energy_pct_opex,65.69,79.38,68.89,78.74,73.82,73.82,HIGH
Weismullerstrase 1 (FRA15),Frankfurt,,19.2,76.84,Excellent,87.6,64.16,23.44,baseline_pue; load_growth_rate; energy_pct_opex,68.78,82.45,71.91,81.76,76.84,76.84,HIGH
MSP-2,Eagan,MN,5.0,53.75,Good,63.82,40.41,23.41,baseline_pue; load_growth_rate; energy_pct_opex,45.27,58.9,48.86,58.59,53.75,53.75,HIGH
Equinix FR7,Frankfurt,Hesse,20.0,76.93,Excellent,87.67,64.27,23.4,baseline_pue; load_growth_rate; energy_pct_opex,68.89,82.52,72.0,81.84,76.93,76.93,HIGH
NTT Frankfurt 2,Frankfurt,Hesse,20.0,76.93,Excellent,87.67,64.27,23.4,baseline_pue; load_growth_rate; energy_pct_opex,68.89,82.52,72.0,81.84,76.93,76.93,HIGH
AWS FRA54,Frankfurt,Hesse,20.0,76.93,Excellent,87.67,64.27,23.4,baseline_pue; load_growth_rate; energy_pct_opex,68.89,82.52,72.0,81.84,76.93,76.93,HIGH
CyrusOne FRA1,Frankfurt,Hesse,20.0,76.93,Excellent,87.67,64.27,23.4,baseline_pue; load_growth_rate; energy_pct_opex,68.89,82.52,72.0,81.84,76.93,76.93,HIGH
GDC CA2,Sacramento,CA,26.1,83.93,Excellent,93.29,69.9,23.39,baseline_pue; load_growth_rate; energy_pct_opex,74.69,89.91,78.75,89.1,83.93,83.93,HIGH
PROEN OTT DC,Bangkok,,5.0,53.19,Good,63.22,39.85,23.37,baseline_pue; load_growth_rate; energy_pct_opex,44.72,58.31,48.29,58.02,53.19,53.19,HIGH
Bahnhof Thule,Stockholm,Stockholm,3.0,37.21,Moderate,48.83,25.46,23.37,baseline_pue; load_growth_rate; energy_pct_opex,29.4,43.61,31.85,42.46,37.21,37.21,HIGH
Vandagatan 3 STO6,Kista,,4.9,47.32,Moderate,57.16,33.85,23.31,baseline_pue; load_growth_rate; energy_pct_opex,38.77,52.32,42.44,52.13,47.32,47.32,HIGH
Digital Realty FRA17,Frankfurt,Hesse,22.0,77.11,Excellent,87.82,64.52,23.3,baseline_pue; load_growth_rate; energy_pct_opex,69.13,82.68,72.19,82.02,77.11,77.11,HIGH
Parkwest Industiral Estate DUB1,Dublin,,1.0,62.35,Good,70.74,47.48,23.26,baseline_pue; load_growth_rate; energy_pct_opex,52.47,66.33,57.62,66.93,62.35,62.35,HIGH
Koolhovenlaan 25 AMS6,Amsterdam,,10.0,71.31,Good,81.82,58.6,23.22,baseline_pue; load_growth_rate; energy_pct_opex,63.26,76.74,66.4,76.19,71.31,71.31,HIGH
Microsoft FRA29,Frankfurt,Hesse,24.0,77.27,Excellent,87.95,64.74,23.21,baseline_pue; load_growth_rate; energy_pct_opex,69.33,82.82,72.36,82.17,77.27,77.27,HIGH
Vantage FRA11,Offenbach,Hesse,24.0,77.27,Excellent,87.95,64.74,23.21,baseline_pue; load_growth_rate; energy_pct_opex,69.33,82.82,72.36,82.17,77.27,77.27,HIGH
CyrusOne FRA2,Frankfurt,Hesse,24.0,77.27,Excellent,87.95,64.74,23.21,baseline_pue; load_growth_rate; energy_pct_opex,69.33,82.82,72.36,82.17,77.27,77.27,HIGH
DC West,Singapore,N/A,36.0,84.29,Excellent,93.59,70.39,23.2,baseline_pue; load_growth_rate; energy_pct_opex,75.16,90.22,79.13,89.45,84.29,84.29,HIGH
AT TOKYO CC2,Tokyo,Tokyo,14.0,74.33,Good,84.92,61.73,23.19,baseline_pue; load_growth_rate; energy_pct_opex,66.35,79.82,69.43,79.23,74.33,74.33,HIGH
NTT Frankfurt 1,Frankfurt,Hesse,25.0,77.34,Excellent,88.01,64.83,23.18,baseline_pue; load_growth_rate; energy_pct_opex,69.42,82.88,72.43,82.24,77.34,77.34,HIGH
STT 6,Singapore,N/A,40.0,84.39,Excellent,93.67,70.52,23.15,baseline_pue; load_growth_rate; energy_pct_opex,75.28,90.3,79.23,89.54,84.39,84.39,HIGH
Equinix SK1,Bromma,Stockholm,5.0,47.64,Moderate,57.43,34.28,23.15,baseline_pue; load_growth_rate; energy_pct_opex,39.18,52.6,42.78,52.44,47.64,47.64,HIGH
EcoDataCenter Stockholm,Stockholm,Stockholm,5.0,47.64,Moderate,57.43,34.28,23.15,baseline_pue; load_growth_rate; energy_pct_opex,39.18,52.6,42.78,52.44,47.64,47.64,HIGH
