Name,City,State,Operator,Size_MW,Latitude,Longitude,Status,Electricity_Price,Composite_Score,Classification,Savings_Per_MW,Payback_Years,OPEX_Impact_Pct,Annual_Energy_Cost,Estimated_Savings,EJ_Demographic_Index,EJ_Energy_Burden_Pct,CO2_Avoided_MT,Water_Saved_Gal,Grid_Relief_Pct,Cars_Equivalent,Homes_Equivalent,Missing_Inputs_Note
CyrusOne DUB2,Dublin,Leinster,CyrusOne,24.0,53.3285,-6.4556,Active,0.3,89.85,Excellent,313651.8,0.199,4.0,75276432.0,7527643.2,,,7527.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
EdgeConneX EDCDUB01,Dublin,Leinster,EdgeConneX,24.0,53.3891,-6.2269,Active,0.3,89.85,Excellent,313651.8,0.199,4.0,75276432.0,7527643.2,,,7527.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
AirTrunk SYD1,Huntingwood,NSW,AirTrunk,130.0,-33.7799,150.8628,Active,0.28,89.72,Excellent,292741.68,0.039,4.0,380564184.0,38056418.4,,,70676.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
AirTrunk SYD2,Lane Cove West,NSW,AirTrunk,120.0,-33.8149,151.153,Active,0.28,89.7,Excellent,292741.68,0.043,4.0,351290016.0,35129001.6,,,65239.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
AirTrunk SYD3,Huntingwood,NSW,AirTrunk,110.0,-33.7789,150.8645,Active,0.28,89.67,Excellent,292741.68,0.047,4.0,322015848.0,32201584.8,,,59802.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
LHR13,Chessington,London,Digital Realty,18.0,51.3690669002207,-0.29115616517208,Active,0.34,89.64,Excellent,355472.04,0.234,4.0,63984967.2,6398496.72,,,4328.4,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Digital Realty DUB12,Dublin,Leinster,Digital Realty,20.0,53.3273,-6.4515,Active,0.3,89.61,Excellent,313651.8,0.239,4.0,62730360.0,6273036.0,,,6273.0,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
NEXTDC S3,Artarmon,NSW,NEXTDC,80.0,-33.8095,151.1862,Active,0.28,89.57,Excellent,292741.68,0.064,4.0,234193344.0,23419334.4,,,43493.0,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
NEXTDC S5,Macquarie Park,NSW,NEXTDC,80.0,-33.7794,151.1302,Construction,0.28,89.57,Excellent,292741.68,0.064,4.0,234193344.0,23419334.4,,,43493.0,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Echelon LCY10,London,N/A,Echelon Data Centres,17.0,51.49,-0.016,Active,0.34,89.55,Excellent,355472.04,0.248,4.8,60430246.8,6043024.68,,,4087.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Digital Realty DUB9,Dublin,Leinster,Digital Realty,18.0,53.3267,-6.4508,Active,0.3,89.45,Excellent,313651.8,0.266,4.0,56457324.0,5645732.4,,,5645.7,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Global Switch Sydney West,Ultimo,NSW,Global Switch,52.0,-33.8815,151.1994,Active,0.28,89.36,Excellent,292741.68,0.099,4.0,152225673.6,15222567.36,,,28270.5,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Keppel DC Dublin 1,Dublin,,Keppel Data Centres,16.0,53.34607647637652,-6.244673219178942,Active,0.3,89.25,Excellent,313651.8,0.299,4.0,50184288.0,5018428.8,,,5018.4,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix SY9x,Rosehill,NSW,Equinix,40.0,-33.8268,151.0242,Active,0.28,89.18,Excellent,292741.68,0.128,4.0,117096672.0,11709667.2,,,21746.5,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Global Switch Sydney East,Ultimo,NSW,Global Switch,36.0,-33.881,151.199,Active,0.28,89.1,Excellent,292741.68,0.142,4.0,105387004.8,10538700.48,,,19571.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Digital Realty DUB4,Dublin,Leinster,Digital Realty,14.0,53.3258,-6.4498,Active,0.3,88.99,Excellent,313651.8,0.342,4.0,43911252.0,4391125.2,,,4391.1,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Digital Realty SYD11,Erskine Park,NSW,Digital Realty,32.0,-33.8159,150.8078,Active,0.28,88.99,Excellent,292741.68,0.16,4.0,93677337.6,9367733.76,,,17397.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Hayes,London,N/A,VIRTUS Data Centres,12.0,51.496,-0.4038,Active,0.34,88.93,Excellent,355472.04,0.352,4.0,42656644.8,4265664.48,,,2885.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
NEXTDC S2,Macquarie Park,NSW,NEXTDC,30.0,-33.7782,151.1305,Active,0.28,88.93,Excellent,292741.68,0.171,4.0,87822504.0,8782250.4,,,16309.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
YTL Sydney,Auburn,NSW,YTL,30.0,-33.8481,151.0352,Construction,0.28,88.93,Excellent,292741.68,0.171,4.0,87822504.0,8782250.4,,,16309.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
CDC Eastern Creek 2,Eastern Creek,NSW,CDC,28.0,-33.8017,150.8645,Active,0.28,88.85,Excellent,292741.68,0.183,4.0,81967670.4,8196767.04,,,15222.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
CDC Eastern Creek 1,Eastern Creek,NSW,CDC,21.0,-33.8012,150.8639,Active,0.28,88.49,Excellent,292741.68,0.244,4.0,61475752.8,6147575.28,,,11416.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
DB3,Ballycoolin,,Equinix,11.0,53.37550610263331,-6.335592587203888,Active,0.3,88.43,Excellent,313651.8,0.435,4.0,34501698.0,3450169.8,,,3450.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Digital Realty SYD10,Erskine Park,NSW,Digital Realty,20.0,-33.8152,150.807,Active,0.28,88.42,Excellent,292741.68,0.256,4.0,58548336.0,5854833.6,,,10873.3,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix SY5,Alexandria,NSW,Equinix,18.0,-33.9167,151.1925,Active,0.28,88.24,Excellent,292741.68,0.285,4.0,52693502.4,5269350.24,,,9785.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Macquarie IC3,Macquarie Park,NSW,Macquarie Data Centres,18.0,-33.7775,151.1278,Active,0.28,88.24,Excellent,292741.68,0.285,4.0,52693502.4,5269350.24,,,9785.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
630 Ajax Ave LHR26,Slough,,Digital Realty,9.0,51.499192477121746,-0.5929172179678618,Active,0.34,88.23,Excellent,355472.04,0.469,4.0,31992483.6,3199248.36,,,2164.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix DB4,Dublin,Leinster,Equinix,10.0,53.3911,-6.3812,Active,0.3,88.17,Excellent,313651.8,0.478,4.0,31365180.0,3136518.0,,,3136.5,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
NEXTDC S1,Macquarie Park,NSW,NEXTDC,16.0,-33.7785,151.1309,Active,0.28,88.03,Excellent,292741.68,0.32,4.0,46838668.8,4683866.88,,,8698.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
DCI SYD02,Eastern Creek,NSW,DCI Data Centers,16.0,-33.8038,150.8629,Active,0.28,88.03,Excellent,292741.68,0.32,4.0,46838668.8,4683866.88,,,8698.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix SY4,Mascot,NSW,Equinix,14.0,-33.9271,151.1862,Active,0.28,87.76,Excellent,292741.68,0.366,4.0,40983835.2,4098383.52,,,7611.3,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
NEXTDC S6,Artarmon,NSW,NEXTDC,13.0,-33.8101,151.1858,Active,0.28,87.59,Excellent,292741.68,0.394,4.0,38056418.4,3805641.84,,,7067.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix DB2,Dublin,Leinster,Equinix,8.0,53.3333,-6.4378,Active,0.3,87.45,Excellent,313651.8,0.598,4.0,25092144.0,2509214.4,,,2509.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Keppel DC Dublin 2,Dublin,Leinster,Keppel,8.0,53.2939,-6.4035,Active,0.3,87.45,Excellent,313651.8,0.598,4.0,25092144.0,2509214.4,,,2509.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix SY3,Alexandria,NSW,Equinix,12.0,-33.9175,151.1919,Active,0.28,87.39,Excellent,292741.68,0.427,4.0,35129001.6,3512900.16,,,6524.0,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
11 Hanbury Street (LON1),London,,Digital Realty,6.2,51.49452892465835,-0.11575476290115334,Active,0.34,86.96,Excellent,355472.04,0.681,4.0,22039266.48,2203926.65,,,1490.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
11 Hanbury Street LON1,London,,Digital Realty,6.2,51.5199769378324,-0.14245734984137348,Active,0.34,86.96,Excellent,355472.04,0.681,4.0,22039266.48,2203926.65,,,1490.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix SY2,Mascot,NSW,Equinix,10.0,-33.9268,151.1858,Active,0.28,86.88,Excellent,292741.68,0.512,4.0,29274168.0,2927416.8,,,5436.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix SY6,Silverwater,NSW,Equinix,10.0,-33.8251,151.053,Active,0.28,86.88,Excellent,292741.68,0.512,4.0,29274168.0,2927416.8,,,5436.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Macquarie IC2,Macquarie Park,NSW,Macquarie Data Centres,10.0,-33.778,151.1283,Active,0.28,86.88,Excellent,292741.68,0.512,4.0,29274168.0,2927416.8,,,5436.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
LBL1,Liverpool,"North Wales, Merseyside & Cheshire",nLighten,5.3,53.34308449,-2.973388309,Active,0.34,86.26,Excellent,355472.04,0.796,4.8,18840018.12,1884001.81,,,1274.5,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix DB1,Dublin,Leinster,Equinix,6.0,53.2942,-6.4028,Active,0.3,86.26,Excellent,313651.8,0.797,4.0,18819108.0,1881910.8,,,1881.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Equinix SY1,Mascot,NSW,Equinix,8.0,-33.9265,151.1854,Active,0.28,86.11,Excellent,292741.68,0.64,4.0,23419334.4,2341933.44,,,4349.3,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Sovereign House (LHR20),London,,Digital Realty,4.8,51.494878653772254,-0.14441133381944912,Active,0.34,85.77,Excellent,355472.04,0.879,4.0,17062657.92,1706265.79,,,1154.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Cloud House LHR30,London,,Digital Realty,4.5,51.523052232986934,-0.12288224803738261,Active,0.34,85.42,Excellent,355472.04,0.938,4.0,15996241.8,1599624.18,,,1082.1,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
D15 CXE2,Dublin,,Servecentric,5.0,53.349459762418135,-6.262873011923818,Active,0.3,85.3,Excellent,313651.8,0.956,4.8,15682590.0,1568259.0,,,1568.3,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Profile Park DUB14,Kilcarbery,,Digital Realty,5.0,53.32115433081294,-6.4207950004055805,Active,0.3,85.3,Excellent,313651.8,0.956,4.0,15682590.0,1568259.0,,,1568.3,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
SVY01C,San Jose,CA,STACK Infrastructure,100.0,37.40184,-121.895,Active,0.25,84.9,Excellent,261376.5,0.057,4.0,261376500.0,26137650.0,,,49661.5,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
CA1,Santa Clara,CA,Vantage Data Centers,77.0,37.37,-121.97,Active,0.25,84.8,Excellent,261376.5,0.075,4.0,201259905.0,20125990.5,43.4,2.5,19390.0,223596695.0,0.016,4215.3,7667.0,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
DUB3,Kilmahuddrick,,Digital Realty,4.6,53.332391045468135,-6.384142539785556,Active,0.3,84.8,Excellent,313651.8,1.04,4.0,14427982.8,1442798.28,,,1442.8,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Oliver's Tard (LHR18),London,,Digital Realty,4.0,51.50445663202711,-0.11953372197868561,Active,0.34,84.71,Excellent,355472.04,1.055,4.0,14218881.6,1421888.16,,,961.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
MCR2,Manchester,North West,Datum,4.0,53.3788679905762,-2.25860953616198,Active,0.34,84.71,Excellent,355472.04,1.055,4.8,14218881.6,1421888.16,,,961.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
LHR18,London,London,Digital Realty,4.0,51.5242615729811,-0.0873228370295861,Active,0.34,84.71,Excellent,355472.04,1.055,4.0,14218881.6,1421888.16,,,961.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
DC Tuas,Singapore,N/A,Nxera,58.0,1.320632065,103.6572479,Active,0.25,84.65,Excellent,261376.5,0.099,4.8,151598370.0,15159837.0,,,24740.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Sin12,Singapore,N/A,Digital Realty,50.0,1.37035,103.966,Construction,0.25,84.56,Excellent,261376.5,0.115,4.0,130688250.0,13068825.0,,,21328.3,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
STT 6,Singapore,N/A,ST Telemedia Global Data Centres,40.0,1.378695757,103.9631229,Active,0.25,84.39,Excellent,261376.5,0.143,4.0,104550600.0,10455060.0,,,17062.7,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
